Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,,Size
720,17.530328814539264,-47.56839367,-6.381879306,-1.953557356,7.535712729776521,0.4127724270745329,,
721,23.014003548756964,-17.49385445,-10.71262393,-2.429382628,3.9214371355402555,-0.058590974,,
716,-13.14904965,-193.5846333,18.705844683750737,0.7863172683045436,25.11398371635408,3.2317149951805804,,
772,3.801517889169286,-9.921552951,-9.310125546,-0.143006451,3.1084333162765976,0.3701015225593307,,
719,29.73508068628036,-103.6203995,0.082225371,-3.700649364,14.169759761752175,0.8262805880075559,,
717,20.21161719550534,-176.6993918,13.356381359021611,-3.028325858,22.944477778167702,2.250679444286097,,
B,17.29504571418281,-45.78784564,-7.589267345,-1.903700383,7.3211348653936055,0.27916184328260907,,
C,29.58265510178397,-85.98283384,-2.073997968,-3.58582892,12.06591729532416,0.6365163289196742,,
D,36.61537165665026,-129.6006469,3.6800408552773267,-4.662647336,17.24127459952821,1.074173287636857,,
E,34.23252481776836,-165.2191618,10.379570006275245,-4.605116927,21.509005810361277,1.7679400038291235,,
B,-11.30763718,45.00763704764815,-0.717038659,-1.904790799,7.336733229693896,0.3385399564631545,,
C,-8.79693707,17.886295238512314,-5.24613279,-3.559962682,12.064530281223824,0.5719541162423502,,
D,-10.00426579,-10.95006368,-9.268468922,-4.654266169,17.219523740379618,1.059082126497432,,
E,-16.57171057,-33.86417391,-11.83446508,-4.553409219,21.524813386101002,1.7012302267014037,,
720,-11.4646137,43.89772092455094,-0.530554099,-1.932670297,7.524322243588597,0.4199392953408534,,
920,-12.95294326,56.347604563304856,1.5695207143483298,-1.114517645,5.367330824608157,0.3251360697917159,,
772,-15.45399195,69.39901876,3.949976862394121,-0.095123997,3.1378579219408724,0.2813639342284707,,
719,-10.84794689,6.539039970202164,-6.296393534,-3.72315581,14.135624888558457,0.8975932638875133,,
918,-46.07918169,-41.03261947,-10.18674643,0.2380074405946878,23.923632558709183,3.0394991014754287,,
716,-50.66101842,-46.7452313,-10.91737583,0.7789344010699538,25.12587018395649,3.2596037733528647,,
717,-26.97574607,-39.70815275,-11.38093866,-3.019093279,22.942371276625302,2.284257304506422,,
919,-14.76256559,32.58391184147555,-2.658308082,-1.860437007,9.691513449371886,0.5876056023291474,,
721,-3.846133737,62.38941918821866,2.575966492866884,-2.434503733,3.904634426778685,0.023402306403857098,,
B,-8.308220682,15.678714032675984,-14.90915242,-1.90443179,7.303341601230429,0.34617640290281293,,
C,-9.144820925,-30.76405344,-9.177716842,-3.604569097,12.042444913582413,0.5689807854454167,,
D,-17.07918733,-78.90728763,-1.751560641,-4.688694707,17.22089149492554,1.071942657456143,,
E,-32.75548935,-115.4964065,5.393653948540722,-4.577317679,21.518046059418612,1.7697019513226449,,
920,-9.660822663,35.27702761265512,-16.38236811,-1.033954463,5.369130673172806,0.3800899833065292,,
772,-10.38363218,57.946483450347884,-18.57494229,-0.102197547,3.099372865686282,0.3538526858107014,,
919,-16.44769013,-5.813116025,-12.67832337,-1.909940069,9.782834876897812,0.5300978505255527,,
717,-51.71322721,-122.5907486,7.008374088339907,-2.971426728,22.94212776200693,2.1870946578635855,,
918,-83.9346161,-120.4835434,9.89196114,0.2677548646794672,23.931351420043587,3.0329431295783795,,
716,-92.37317632,-128.8484472,11.625444788956075,0.7758456114196798,25.09404064716009,3.281683855276298,,
721,7.433898973132325,43.053470606637234,-18.59968016,-2.418329169,3.9436838075588625,-0.06521641,,
720,-8.806444366,13.861974004875794,-14.45867663,-1.928594298,7.506558227033471,0.3864399243832448,,
719,-15.23674326,-49.22987522,-5.065031886,-3.739133726,14.144934062820232,0.9454196032800725,,
B,2.246000526583513,-16.26628103,-5.054424622,-1.87724442,7.3319947009816495,0.32921838927425706,,
D,-0.087551222,-48.40851973,-5.437407963,-4.691025986,17.253736531956946,1.1168433977889505,,
E,-5.061797652,-60.8382387,-5.351815129,-4.568216148,21.510625150145934,1.6867911211132895,,
721,7.508839403038521,-6.784455939,-4.738660073,-2.424275104,3.9149463454144495,-0.053978572,,
920,1.7412565652094405,-9.696548474,-4.498202788,-1.025285454,5.388752742672426,0.36564029734068426,,
720,2.1870538710947054,-16.93453252,-4.915733704,-1.93787926,7.533612873197931,0.39249754657300095,,
717,-11.37474437,-63.54087458,-4.674285392,-2.998611129,22.961803034329815,2.2651655105094024,,
719,0.5171531549927113,-38.23945619,-5.153354701,-3.766651424,14.122410798499136,0.9254872658138162,,
919,-0.310766698,-23.19960025,-5.282063025,-1.864109062,9.694341244726655,0.5497399105356167,,
772,1.4861776794797044,-2.107862734,-3.975095327,-0.1351126,3.114234952268024,0.3545121484627487,,
B,7.9150476161155074,24.545429231612346,-10.38047112,-1.9169282,7.331766285194879,0.3179200978258212,,
C,9.142983410082975,55.24743656143307,-11.69630329,-3.612071291,12.076582809748267,0.5830426382332694,,
D,15.106346163790773,87.11927791685021,-12.64381225,-4.670771428,17.27217514035529,1.0372736111761158,,
E,25.490251534292348,111.38231664264326,-12.03356058,-4.616350263,21.545781332430337,1.7371358753897894,,
920,8.689583845,11.723434434185572,-9.127691338,-1.026263799,5.411139518652327,0.35146619976112237,,
720,8.419481275,25.760087871212487,-10.15563298,-1.919751566,7.540437862247817,0.3840010233889095,,
919,13.675341628992102,37.39659392972522,-10.71499847,-1.837884712,9.625585569794707,0.5884544111331111,,
719,13.165273563962973,67.35352343743415,-11.15008104,-3.76389818,14.134441881577905,0.9438005286164293,,
918,59.31830200922565,114.00836935382479,-9.085738126,0.2799947073386112,23.892352563546705,3.0554964114030745,,
716,64.89740560279034,119.60414122433177,-9.29363998,0.7791422628044493,25.07552005304404,3.2361664081004875,,
772,8.624292520627872,-3.191312816,-7.818996237,-0.13366576,3.1227943769533715,0.3435221662826844,,
717,38.21324168828587,115.86971138960412,-11.13868904,-2.988103223,22.962296775471064,2.2495581264414786,,
721,-2.73695228,6.248661493559312,-9.367118787,-2.408437344,3.907884242519209,-0.038630421,,
772,3.686372778,-7.142280526,-6.451520428,-0.136433093,3.1157278987425694,0.3288059138063151,,
920,9.088306492549286,-12.80686285,-6.748124528,-0.963329297,5.395019773868033,0.432715634,,
919,17.457435643568775,-24.40518814,-7.744931505,-1.884360305,9.739023826041734,0.547564668,,
720,14.815975149303151,-17.81193738,-7.55632634,-1.951195446,7.547616301932539,0.34928051684611416,,
719,28.549137126896007,-35.0050239,-7.820299184,-3.721955708,14.110209561530246,0.8812910283718054,,
721,11.500829770103968,-6.257193108,-7.236273818,-2.440397082,3.871873535489246,-0.011982404,,
B,14.469045639170819,-17.21849636,-7.559688666,-1.925782288,7.337435722600384,0.3260694045651107,,
