Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,Size
B,-6.535827218,-80.31935121,9.869378109,-1.025526731,7.351040061,-1.264884244,
C,-9.079606061,-53.47734454,3.485089826,1.992549141,10.98788002,-2.054740076,
D,-11.24057969,-30.14135552,-1.271739978,4.615301963,14.13764142,-2.604449686,
727,-3.23272141,10.00179485,-9.734069987,10.56439656,18.12532631,-3.583257098,
725,-15.85676684,-25.26578911,-2.606222696,4.656774902,15.30711381,-2.783413279,
722,9.212297092,-93.58103885,14.82752462,-0.759952507,3.770195498,-0.544830238,
728,-6.222940536,64.33065039,-21.18122094,16.9236195,25.21173043,-4.924728942,
724,-18.4487725,-55.14579466,3.793273227,0.639925037,11.92659593,-2.033160653,
723,0.003836592,-75.77886213,10.20396403,0.324897683,7.104124986,-1.145504739,
177,3.489630962,17.39904878,-9.961965362,12.29044014,18.20920817,-3.527174979,
729,4.530695927,74.35581814,-21.26555653,19.4618528,25.12297989,-4.807879132,
903,11.88384318,117.1076217,-14.41146138,7.610932596,18.88703727,-3.410025683,
723,11.13858503,7.240755097,-7.406777876,0.340547267,7.150549594,-1.122027151,
177,46.53216937,131.3155975,-15.06638334,12.30513182,18.12585841,-3.63661162,
724,-6.469570159,40.94015554,-11.37998411,0.622984748,11.90748431,-2.073973111,
725,6.532471161,80.63495381,-12.81349531,4.638894925,15.31957976,-2.748014222,
722,17.66003222,-20.29625321,-5.285875345,-0.751057608,3.770095596,-0.495078886,
727,34.79446399,124.5668941,-14.37926422,10.59018914,18.18001536,-3.476297489,
B,1.249735916,3.059887844,-9.351643512,-1.019659531,7.329747108,-1.325349151,
C,6.452742506,40.2903252,-11.36996646,1.983726907,10.98402208,-2.050359082,
D,11.21281048,72.60558322,-12.8955688,4.618393078,14.14234245,-2.650773404,
724,9.493285142,140.8281973,3.460933208,0.652221962,11.92467842,-2.064653623,
725,36.34331146,193.4402923,10.13265604,4.627882895,15.28295869,-2.796190312,
722,30.36219747,48.96332261,-8.527146603,-0.751142322,3.800357337,-0.478013774,
723,27.24248307,88.44127666,-3.652994075,0.32858778,7.08987598,-1.154017718,
727,86.25517608,249.436475,17.1785045,10.60362072,18.14681021,-3.47303683,
726,42.38090605,261.3111517,22.38281777,7.439035495,20.66371915,-3.576397924,
903,53.28128053,244.0913239,18.4645118,7.737743394,18.86359551,-3.384534148,
177,102.3829876,258.075854,17.14416511,12.2081976,18.2784213,-3.629656097,
B,11.71024313,85.79884336,-5.010182784,-1.036928665,7.365002888,-1.273852529,
C,27.47604948,137.1679687,1.623042749,1.990949711,10.99440184,-2.030197396,
D,40.56338502,180.6967011,6.448693934,4.529801042,14.0574783,-2.739257438,
722,23.1858771,-130.1281293,-7.358029188,-0.74361634,3.799344025,-0.509117036,
723,15.8144041,-97.20961935,-9.314732863,0.355428807,7.067421697,-1.192338361,
