region,site,colony_id,species,type,tag_date,dead,dead_date,project,location,notes,no
Coiba,Canales de Afuera,737,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,27
Coiba,Canales de Afuera,738,Pl.,T3,10/1/2020,NA,NA,RRR,RRR transect,NA,28
Coiba,Canales de Afuera,739,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,Small (02/2023),29
Coiba,Canales de Afuera,740,Pl.,T3,10/1/2020,NA,NA,RRR,RRR transect,Damaged (02/2023),30
Coiba,Canales de Afuera,741,Pl.,T3,10/1/2020,NA,NA,RRR,RRR transect,NA,31
Coiba,Canales de Afuera,742,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,32
Coiba,Canales de Afuera,743,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,33
Coiba,Bahia Damas,744,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,1
Coiba,Bahia Damas,745,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,sequencing failed / identified morphologically,2
Coiba,Bahia Damas,746,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,3
Coiba,Bahia Damas,747,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,sequencing failed / identified morphologically,4
Coiba,Bahia Damas,748,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,5
Coiba,Bahia Damas,749,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,6
Coiba,Bahia Damas,750,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,7
Coiba,Bahia Damas,751,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,8
Coiba,Bahia Damas,752,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,9
Coiba,Bahia Damas,753,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,10
Coiba,Bahia Damas,754,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,11
Coiba,Uvas,755,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,sequencing failed / identified morphologically,67
