Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,,Size
A,4.733890544020325,17.99264528192396,-13.53945545,0.3927719295380176,0.030177758909352592,0.10221854955255183,,
B,8.609220463,-11.15307047,-6.465691197,4.046425068,-2.297002393,0.6287827922848607,,
C,23.709464994282424,-41.83190921,-3.523480846,8.873850385657914,-3.387604594,0.8074539124671329,,
D,37.129158046496144,-73.90483092,-0.620512871,13.709174979033122,-4.784889531,0.914095225,,
E,44.97739407095524,-107.7846374,3.111850274433289,18.25221879695619,-6.982671411,0.971596381,,
F,52.10038378464789,-140.055603,6.667133360544518,22.548042828333745,-9.115179598,1.0180835242505646,,
708,54.28697217,-33.53511422,-6.082947942,10.66272782541191,0.8038051855683774,1.326917850340555,,
709,45.46744929026619,-13.95327657,-9.573249149,7.653619800270801,1.6397823985236184,1.004746922896431,,
710,24.92097467768848,5.070304788250451,-11.24617363,3.661573590313602,1.0716209782701818,0.6518719796945427,,
706,46.68154231403726,-103.2733069,2.8064558565144897,17.892913669956165,-6.391061983,1.0557302397277117,,
704,60.86998334344049,-161.7816098,6.7957230920762095,25.793725042321057,-10.04130114,0.823537276,,
705,72.40346563837176,-141.4722734,5.0222459015945615,24.520820375228933,-6.93769782,1.2370427472990522,,
707,57.896948500354426,-79.16919792,-0.046717525,16.160864300059988,-2.958952246,1.382687333560962,,
C,-20.61107827,44.177928963083176,-6.143682456,8.880262309873297,-3.399147915,0.8272234349954228,,
B,-10.26695061,26.786010725247237,-5.208146164,4.038824672073634,-2.299295676,0.596745781,,
D,-30.02782439,62.35514070732368,-7.18016339,13.708899859210353,-4.793592272,1.007105451,,
E,-36.24644473,81.87938690996664,-8.707564359,18.255776331723652,-6.970710643,0.969116279,,
706,-36.9167212,79.18978095915699,-8.530092407,17.885496626394715,-6.400660462,1.0175268941554192,,
907,-38.85784717,100.83561954100571,-10.5117929,22.10669417,-9.682788293,0.7393318374076854,,
707,-42.49839375,64.44041419447757,-7.587430423,16.174306008348886,-2.937611541,1.3394618357057757,,
709,-32.01722727,26.344301227950147,-6.408713085,7.628479501998034,1.6379563528544563,1.0312589705317097,,
710,-19.15639701,16.246915509468074,-5.99865633,3.6757238554346374,1.0693096547957366,0.6353341686338516,,
B,4.386367790276772,73.02388767244346,-12.84251809,4.046886474976507,-2.289856622,0.5813350659208638,,
C,-48.23314293,49.52705385705494,-13.46149249,8.873279432781361,-3.384216208,0.7537178700251823,,
D,-103.1339493,28.669054113648492,-12.31834567,13.710819622081644,-4.796802145,1.0327226509481398,,
E,-160.8477021,17.31514166956924,-13.35251239,18.27440466854876,-6.97010286,0.9852630563572273,,
F,-215.3347223,7.582197644154812,-13.15134169,22.52465959297706,-9.103766526,1.0260682774471344,,
710,31.355992679162636,44.61772534360091,-17.02109781,3.6590671817690574,1.0708048478757923,0.6913749162603591,,
708,-35.78456893,-2.488894068,-15.93598551,10.67457632570172,0.8116568044490127,1.3153404236036568,,
707,-113.2552971,-5.786136142,-14.17502978,16.171996749572642,-2.955523469,1.3473440692460041,,
706,-153.4563996,14.667689652424627,-14.33701574,17.905999455073783,-6.399452715,0.9554672480658974,,
705,-218.9501651,-26.27644142,-16.26525626,24.515541507612024,-6.953657962,1.2394668526887618,,
774,-237.8226762,-26.66927161,-16.93197754,25.841426278671825,-7.885234888,1.1485840340506843,,
907,-215.6697967,16.29188839395902,-14.51953204,22.11465087257141,-9.694009327,0.784765582,,
709,-1.784442549,11.547746121601895,-17.88821518,7.630355933831473,1.6264454175672134,1.0211398547796864,,
B,-18.76427841,72.00386046533501,-19.33211705,4.0323229720087825,-2.301297296,0.6610438041006041,,
C,-11.28770644,45.55065536203402,-14.95262539,8.868969274323952,-3.391309854,0.7539360724577873,,
D,-5.262309966,18.418859468158786,-9.494527718,13.71029324876508,-4.792304072,0.9939110459262996,,
E,-4.010950587,-9.560409548,-4.951686904,18.264995033593483,-6.983756015,0.9775910564138727,,
706,-1.987277276,-6.261860779,-5.34741213,17.913138805351945,-6.389636831,1.036263289871192,,
705,12.881637681504387,-39.963379,0.39536405817307096,24.527150074242684,-6.947058911,1.2626150032296768,,
774,11.650089460941906,-48.97504757,1.6279354447237462,25.852368301296757,-7.902286315,1.1927007574316741,,
710,-3.122944155,82.38908445695176,-22.55016322,3.665299342596615,1.072149709485069,0.6383810017070437,,
907,-7.227225876,-35.34095337,-1.796742646,22.07480053149819,-9.658445864,0.7171749245945671,,
707,10.418426486737319,11.350853983307225,-7.703501327,16.164143450112697,-2.96050469,1.3307823264233092,,
908,-21.99853373,119.31057892264202,-19.67277104,3.730919178175948,-4.078700877,0.2688702094168791,,
B,3.2785645483821453,120.2753295190286,-19.03641271,4.038913788393233,-2.299721412,0.6259901679138575,,
C,2.973833306018984,52.03534698200857,-19.54612352,8.876514648,-3.39471228,0.8143470936109334,,
D,-1.406848053,-17.13848497,-19.97358335,13.718544792911421,-4.790992971,0.960958655,,
E,-17.08313543,-84.32772067,-20.45357309,18.250257170511315,-6.94668894,0.9564852241971304,,
F,-33.3576395,-148.6735231,-18.96023554,22.559619331168758,-9.121911929,1.0762883247005013,,
709,66.63232781780461,83.37082759509128,-26.10312232,7.650789453722881,1.6361949974034062,1.0328008197489111,,
708,64.88670257018238,40.21409689204907,-24.20979306,10.673704071838065,0.8095238832205486,1.291184585486336,,
710,46.915447532216966,135.4826642937304,-25.41204421,3.6546807384087345,1.0711950552836715,0.662114657,,
707,30.606585170615602,-44.86742708,-21.32955928,16.174465197089276,-2.97113096,1.3554968684937516,,
705,1.2849209085025513,-168.4255021,-23.31425796,24.507203418566636,-6.957331574,1.2622383590238389,,
907,-42.71769711,-143.7867603,-22.01335229,22.090421651429402,-9.665451706,0.7247985773815753,,
706,-10.55172388,-78.06723833,-20.57068772,17.905234850070986,-6.388700441,1.0084684366948413,,
B,17.818729261056586,26.02605429734417,-14.73129855,4.045246015,-2.295365554,0.5625858008818703,,
C,17.57527341315181,71.79055026606314,-18.08812362,8.86314962,-3.404504498,0.8483307275733623,,
D,19.853015794083547,118.13393400925118,-22.74662981,13.698396603930803,-4.792167318,0.9934002738972838,,
E,30.03682335555636,163.50349428612574,-28.24180591,18.250470364019346,-6.985555669,1.0051077390133694,,
F,40.16622952,206.41519163988139,-33.55043383,22.545354694257476,-9.11229226,1.0023963134151455,,
706,25.35901491016813,159.2284476039432,-27.79276459,17.91378527180956,-6.388350564,1.0108552055724709,,
907,46.16774647577882,203.25182792169414,-35.41163131,22.095962604312017,-9.663134701,0.7359568972588773,,
705,16.308269322177814,219.78141445155447,-33.88515357,24.526803794302747,-6.938401211,1.2457545960270728,,
707,-1.938798038,136.6761961795658,-22.26834263,16.156006081819935,-2.964183103,1.3886112344261656,,
708,-24.44575096,79.57566765583354,-16.54518075,10.682089661260559,0.8145779273766451,1.2833358813550826,,
709,-25.35978314,50.54148221002467,-15.22065154,7.663435516061298,1.6308498015655697,1.0200411514146417,,
710,-11.78880127,15.508959520363897,-13.50673896,3.659368231492301,1.0746254201967034,0.6586774756253699,,
908,34.61516294555213,26.67748803663449,-16.81307444,3.7311998322600455,-4.074527425,0.2849886815638487,,
B,-2.62194201,-51.90776063,-6.779462379,4.048421199117513,-2.291490276,0.6298221339483734,,
C,-5.421690432,-23.84099198,-8.831684148,8.875417273,-3.388638762,0.8131805209089913,,
D,-6.554437231,4.791526325220993,-10.88402747,13.70500270971234,-4.79275343,0.9675609139153989,,
E,-2.905561733,33.286247261402124,-12.97239298,18.252617514787858,-6.97687588,1.0029646321905865,,
908,7.767980047502337,-50.45871734,-7.671923167,3.7429800281696433,-4.072142321,0.2600902596249086,,
707,-20.96607608,14.765066516819683,-11.57628154,16.149217696361653,-2.971005852,1.3489615037319362,,
708,-31.56707608,-21.69873734,-9.578976916,10.66819809754071,0.8131295494072261,1.3239804836014595,,
709,-30.43756567,-39.6109095,-9.526745001,7.652741058309987,1.6424511400693984,1.004839306984901,,
710,-19.96615445,-60.17064664,-8.090770868,3.6603629815361938,1.0588332289056517,0.6644219714029904,,
706,-5.434847017,30.172823101219667,-13.12488927,17.880516164161605,-6.380646134,0.9825176673292448,,
907,4.931767291989419,59.022468261667676,-15.83989719,22.135865255399544,-9.682229785,0.7604787558602517,,
B,1.1369254257597845,-25.71746825,-9.905641557,4.043671017929494,-2.277181082,0.5631761648347604,,
C,-0.648103582,6.2632808840355585,-9.529267333,8.868772147207634,-3.383256777,0.7460684215728646,,
D,-0.571002364,38.86691665837205,-9.204223698,13.708456481181644,-4.790373591,0.8911867819020058,,
E,4.904965869439678,70.94247438,-8.722107911,18.24125080353544,-6.975506715,0.9668882053401464,,
F,10.406533218989239,101.40995783867642,-8.434843961,22.535451334690517,-9.092800355,1.0074513736365585,,
706,1.8093211408405456,67.84738824705138,-8.870968847,17.91268591932493,-6.383554783,0.9876003182937789,,
907,14.998582829955913,99.90430454989757,-8.954466112,22.122331180512603,-9.699314955,0.844899601,,
707,-16.47903242,50.84841893408211,-8.094313329,16.15026350512178,-2.967080102,1.3682645187138762,,
708,-30.28253901,10.108788555928307,-9.142802689,10.684614622426123,0.8274541293132899,1.3217818435301631,,
709,-29.62220013,-10.22737203,-10.44134706,7.644347928862758,1.6174642833743653,1.050800025988419,,
710,-18.90239945,-34.11984152,-11.14124875,3.647672523976819,1.0627886583200477,0.6898849287701863,,
908,12.982165456493247,-24.32125348,-10.02090049,3.7534944888775676,-4.0859793,0.3477633114485339,,
B,-5.157188906,25.44994733513442,-9.851553002,4.046529697937281,-2.299082932,0.6486223987425221,,
C,-5.705965567,-1.872252927,-9.548505685,8.881981378868359,-3.389448149,0.7881408483390255,,
E,-14.71774873,-56.49131002,-8.875495944,18.26493147753208,-6.972510624,0.9538551200337249,,
D,-7.774158914,-29.39012082,-8.963622523,13.696051068156862,-4.760288863,0.9552010540126681,,
F,-21.43263847,-81.87178054,-8.281798964,22.53281447,-9.089451077,1.0416136720674647,,
